url,id,region,province,locality,zip_code,Longitude,Latitude,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state,energy_type,EPC_score,EnergyConsumptionPerSqm,parking_outdoor,parking_indoor,price_per_sqm
https://www.immoweb.be/en/classified/duplex/for-sale/seneffe/7180/11169188,11169188.0,Wallonie,Hainaut,Seneffe,7180.0,4.2562955,50.5311123,APARTMENT,DUPLEX,178000.0,2.0,80.0,INSTALLED,0.0,,1,4.0,0,0.0,0.0,2.0,False,TO_BE_DONE_UP,GAS,D,269.0,,,2225.0
https://www.immoweb.be/en/classified/penthouse/for-sale/schaerbeek/1030/11169174,11169174.0,Brussels,Brussels,Schaerbeek,1030.0,4.3892364,50.8504744,APARTMENT,PENTHOUSE,470000.0,2.0,108.0,USA_INSTALLED,,,1,70.0,0,0.0,0.0,2.0,,AS_NEW,GAS,C,133.0,1.0,,4351.85
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/11169168,11169168.0,Flanders,West Flanders,Knokke-Heist,8300.0,3.2833927,51.3503726,APARTMENT,APARTMENT,995000.0,2.0,73.0,unknown,,,1,0.0,0,0.0,0.0,2.0,,GOOD,unknown,A,90.0,,,13630.14
https://www.immoweb.be/en/classified/duplex/for-sale/knokke/8300/11169166,11169166.0,Flanders,West Flanders,Knokke,8300.0,3.2858042,51.3421938,APARTMENT,DUPLEX,1945000.0,4.0,203.0,unknown,,,0,0.0,0,0.0,0.0,2.0,,GOOD,unknown,A,71.0,,,9581.28
https://www.immoweb.be/en/classified/duplex/for-sale/mechelen/2800/11166672,11166672.0,Flanders,Antwerp,Mechelen,2800.0,4.4803152,51.0230336,APARTMENT,DUPLEX,1199000.0,2.0,239.0,HYPER_EQUIPPED,,-1.0,0,0.0,0,0.0,0.0,2.0,,AS_NEW,GAS,B,105.0,,,5016.74
https://www.immoweb.be/en/classified/duplex/for-sale/mechelen/2800/11166671,11166671.0,Flanders,Antwerp,Mechelen,2800.0,4.4803152,51.0230336,APARTMENT,DUPLEX,1275000.0,2.0,183.0,HYPER_EQUIPPED,,-1.0,0,0.0,0,0.0,0.0,2.0,,AS_NEW,GAS,B,106.0,,,6967.21
https://www.immoweb.be/en/classified/apartment/for-sale/berchem-sainte-agathe/1082/11166666,11166666.0,Brussels,Brussels,Berchem-Sainte-Agathe,1082.0,4.2926378,50.8700498,APARTMENT,APARTMENT,265000.0,2.0,100.0,INSTALLED,0.0,,1,10.0,0,0.0,0.0,2.0,False,AS_NEW,GAS,C,110.0,1.0,,2650.0
https://www.immoweb.be/en/classified/apartment/for-sale/bois-de-villers/5170/11166659,11166659.0,Wallonie,Namur,BOIS-DE-VILLERS,5170.0,4.8037702,50.3878242,APARTMENT,APARTMENT,295000.0,4.0,188.0,USA_HYPER_EQUIPPED,,,0,0.0,0,0.0,0.0,2.0,,unknown,FUELOIL,C,246.0,2.0,,1569.15
https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/11122495,11122495.0,Flanders,Antwerp,Deurne,2100.0,4.4825563,51.2283262,APARTMENT,APARTMENT,218000.0,2.0,81.0,INSTALLED,,-1.0,1,10.0,0,0.0,0.0,2.0,,GOOD,GAS,B,131.0,,1.0,2691.36
https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2050/11166653,11166653.0,Flanders,Antwerp,Antwerp,2050.0,4.3666975,51.2198759,APARTMENT,APARTMENT,299000.0,2.0,100.0,INSTALLED,,-1.0,1,8.0,0,0.0,0.0,2.0,,unknown,unknown,A,92.0,,1.0,2990.0
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11166649,11166649.0,Brussels,Brussels,Bruxelles,1000.0,4.3526741,50.8571707,APARTMENT,APARTMENT,349000.0,2.0,95.0,unknown,0.0,,1,9.0,0,0.0,0.0,2.0,False,AS_NEW,GAS,C,115.0,,,3673.68
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen%20borgerhout/2140/11166646,11166646.0,Flanders,Antwerp,Antwerpen Borgerhout,2140.0,4.4349291,51.2145679,APARTMENT,APARTMENT,169000.0,2.0,82.0,INSTALLED,0.0,,1,4.0,0,0.0,0.0,2.0,,unknown,unknown,F,625.0,,,2060.98
https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2018/11168629,11168629.0,Flanders,Antwerp,Antwerp,2018.0,4.4257264,51.2158931,APARTMENT,APARTMENT,309000.0,2.0,108.0,USA_HYPER_EQUIPPED,,,0,0.0,0,0.0,0.0,3.0,,GOOD,GAS,B,166.0,,1.0,2861.11
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen%20deurne/2100/11168628,11168628.0,Flanders,Antwerp,Antwerpen Deurne,2100.0,4.468986,51.2334479,APARTMENT,APARTMENT,269000.0,2.0,135.0,USA_HYPER_EQUIPPED,,,0,0.0,0,0.0,0.0,2.0,,GOOD,GAS,A,82.0,1.0,1.0,1992.59
https://www.immoweb.be/en/classified/service-flat/for-sale/kapellen/2950/11168604,11168604.0,Flanders,Antwerp,Kapellen,2950.0,4.428595,51.3099631,APARTMENT,SERVICE_FLAT,138000.0,1.0,48.0,unknown,0.0,,1,0.0,0,0.0,0.0,2.0,,unknown,unknown,B,153.0,,,2875.0
https://www.immoweb.be/en/classified/apartment/for-sale/ninove%20meerbeke/9402/11061428,11061428.0,Flanders,East Flanders,Ninove Meerbeke,9402.0,4.0370481,50.8240436,APARTMENT,APARTMENT,150000.0,1.0,141.0,INSTALLED,,,1,25.0,1,25.0,0.0,2.0,,GOOD,PELLET,E,470.0,,,1063.83
